1,0
2,0
3,0
4,0
5,0.05
6,0.18
7,0.275
8,0.285
9,0.77
10,1.32
11,2.74
12,3.975
13,4.99
14,6.81
15,9.155
16,9.475
17,7.79
18,6.195
19,6.1
20,6.595
